character,high-freq,medium-freq
这,"这
这个","这些
这样
这里
这么"
个,"个
这个","个人
个个
个性
整个
那个"
们,"你们
我们","人们
他们"
中,"中
中国","中共
中午
中原
中国人
中国式
中场
中外
中天
中央
中学
中山
中年
中式
中心
中性
中意
中文
中新网
中毒
中奖
中等
中级
中华
中药
中转
中途
中部
中医
中间
中饭
中餐
之中
其中
初中
命中
国中
家中
市中心
心中
击中
猜中
当中
看中
空中
途中
集中
高中
高中生"
来,"来
来自
出来
原来
回来
起来
越来越","上来
下来
以来
来到
来回
来年
来源
来临
来说
来电
传来
到来
如来
将来
带来
后来
从来
想来
拿来
接下来
未来
本来
用来
看来
进来
过来
醒来"
上,"上
上班
早上
晚上","上下
上来
上传
上午
上去
上司
上天
上学
上市
上帝
上床
上升
上映
上海
上演
上涨
上火
上班族
上瘾
上网
上线
上街
上课
上路
上身
上车
上辈子
上门
上面
世上
以上
加上
史上
向上
地上
基本上
天上
实际上
爱上
戴上
楼上
海上
爬上
登上
看上
穿上
至上
赶上
路上
踏上
身上
闭上
马上"
大,"大
大吉
大家
大奖
大话骰","一大早
亚历山大
人大
伟大
加大
加拿大
北大
博大
哈哈大笑
大不了
大亨
大人
大伙
大伯
大佬
大便
大侠
大内
大全
大刀
大力
大半
大叔
大口
大吃大喝
大吉大利
大同
大哥
大哥大
大哭
大唐
大喜
大地
大型
大堂
大多
大多数
大大
大大小小
大夫
大姐
大姨
大姨妈
大娘
大妈
大学
大学生
大寒
大宝
大小
大山
大巴
大师
大幅
大厦
大厅
大怒
大意
大战
大户
大拇指
大方
大于
大会
大业
大概
大楼
大桥
大气
大洋
大海
大清早
大润发
大火
大爷
大片
大牌
大王
大理
大众
大炮
大笑
大米
大约
大红
大纲
大声
大腕
大脑
大腿
大胆
大自然
大蒜
大号
大街
大衣
大规模
大豆
大象
大军
大连
大运
大道
大选
大部分
大都
大量
大门
大陆
大队
大雨
大雪
大雾
大风
大餐
大驾
大闹天宫
大龄
巨大
师大
广大
强大
恍然大悟
意大利
扩大
放大
澳大利亚
火大
百慕大
盛大
绝大多数
老大
自大
重大
长大
高大
庞大"
为,"以为
因为
成为
为
为了
为什么","不为人知
作为
改为
最为
为主
为何
为止
无能为力
称为
行为
认为
身为"
和,和,"和尚
和平
和谐
平和
暖和"
国,"中国
中国人
国
国内
国家
国际
美国
韩国","中国式
亡国
俄国
共和国
出国
北国
吴国
回国
国中
国人
国企
国债
国内外
国务院
国土
国外
国大
国学
国家级
国家队
国宝
国度
国情
国庆
国旗
国会
国有
国歌
国民
国民党
国泰民安
国王
国产
国界
国画
国籍
国粹
国航
国语
国贸
国道
国防
国际化
外国
外国人
天国
帝国
建国
张国荣
强国
德国
德国人
爱国
爱国者
我国
战国
曾国藩
民国
治国
法国
法国人
泰国
王国
异国
祖国
米国
美国人
联合国
兴国
英国
英国人
蒋经国
蜀国
跨国
开国
韩国人
魏国"
地,"地
地主
地址
地方","不败之地
内地
原地
土地
地上
地下
地位
地区
地图
地域
地坛
地带
地板
地步
地毯
地牢
地狱
地球
地理
地瓜
地产
地盘
地道
地铁
地铁站
地震
地面
地点
基地
场地
墓地
外地
大地
天地
天崩地裂
天旋地转
天长地久
失地
奥地利
工地
心地
战地
房地产
扫地
本地
欢天喜地
死心塌地
特地
异地
异地恋
当地
目的地
圣地
脚踏实地
草地
落地
谈天说地
谢天谢地
质地
遍地
阵地
随地
领地
余地"
到,到,"不到
来到
做到
到来
到家
到底
到处
到达
受到
回到
得到
想到
感到
找到
接到
收到
碰到
等到
签到
听到
见到
买到
遇到
达到
迟到"
以,"以
以后
可以
所以","之所以
以上
以下
以来
以前
以及
以外
以往
以为
足以
难以"
说,"传说
说","来说
小说
据说
听说
解说
诉说
说不定
说出
说好
说明
说服
说法
说话
说说
说谎
说起
说道"
时,"同时
小时
时
时代
时候
时光
时尚
时间
随时","一时
不时
何时
倒计时
到时
到时候
即时
及时
定时
实时
小时候
平时
几时
按时
时分
时刻
时报
时差
时常
时时
时时刻刻
时期
时机
时段
时空
时节
时装
时隔
时髦
暂时
有时
有时候
有的时候
此时
历时
准时
当时
临时
临时工
计时
这时
过时
适时
那时
那时候
顿时"
要,要,"主要
只要
必要
想要
要是
要求
要么
重要
需要"
就,就,"就算
成就"
出,"付出
出
出来
出去
出现
出发
出门","伸出
作出
做出
出世
出乎
出乎意料
出事
出人意料
出入
出动
出口
出名
出品
出售
出国
出场
出奇
出嫁
出局
出差
出师
出席
出息
出手
出于
出汗
出没
出海
出炉
出版
出生
出众
出租
出租车
出声
出自
出台
出色
出处
出血
出行
出卖
出路
出身
出轨
出游
出道
出错
出院
出面
出头
取出
外出
得出
复出
想出
找出
拍出
拿出
指出
掏出
排出
推出
提出
播出
支出
放出
日出
派出所
流出
演出
发出
看出
突出
冲出
认出
说出
卖出
走出
超出
跳出
退出
选出
迈出
长出
露出"
会,"学会
会
机会","一会
一会儿
公会
协会
大会
奥运会
委员会
学生会
年会
庙会
待会儿
教会
晚会
会员
会场
会心
会死
会见
会计
会议
会长
演唱会
理会
发布会
社会
社会主义
约会
聚会
联欢会
舞会
误会
证监会
运动会
都会
开会
音乐会
体会
黑社会"
可,"可
可以
可是
可能","可怕
可悲
可惜
可恶
可爱
可怜
可乐
宁可
无懈可击"
多,"多
多少","二十多
多久
多半
多多
多情
多数
多谢
多变
多云
多余
多么
大多
大多数
好多
差不多
众多
维多利亚
许多
诸多
丰富多彩
顶多"
经,"已经
曾经
经
经典
经常
经历
经济
经过
经验","不经意
心经
必经
月经
正经
历经
痛经
神经
神经病
神经质
经不起
经受
经济学
经营
经理
经纪人
总经理
圣经
财经
途经"
么,"什么
怎么
这么
那么","多么
怎么样
为什么"
去,去,"上去
下去
出去
去年
回去
失去
进去
过去"
法,"做法
想法
方法
没法
法
法国
法律
无法
办法
魔法","不法
佛法
作法
依法
兵法
刑法
加法
司法
吃法
合法
执法
婚姻法
宪法
戏法
手法
打法
政法
书法
书法家
法人
法制
法则
法国人
法子
法学
法官
法定
法宝
法师
法庭
法式
法拉利
法案
法治
法海
法网
法老
法兰克福
法规
法语
法院
犯法
用法
疗法
看法
立法
算法
设法
语法
说法
输入法
违法
非法
魔法师"
学,"上学
中学
化学
同学
大学
大学生
学
学妹
学会
学期
学校
学生
学习
学院
小学
数学
科学
开学","中学生
佛学
光学
入学
初学者
力学
博学
哲学
哲学家
商学院
国学
好学
学位
学分
学名
学员
学问
学园
学堂
学坏
学好
学姐
学子
学弟
学徒
学时
学业
学业有成
学历
学生会
学生证
学科
学者
学术
学说
学识
学费
学长
小学生
张学友
心理学
心理学家
放学
放学后
教学
教学楼
散学
文学
求学
法学
奖学金
留学
留学生
社会学
科学家
科学院
管理学
统计学
经济学
经济学家
美学
自学
转学
退学
医学
医学院"
如,"如
如何
如果
如此","一如既往
不如
例如
假如
如下
如今
如来
如同
如意
如愿
比如
犹如
万事如意"
都,都,"成都
都市"
同,"不同
共同
同
同事
同学
同时
同样","一同
共同点
合同
同仁
同伴
同居
同志
同性
同性恋
同情
同意
同感
同桌
同步
同盟
同胞
同行
同道
同龄
大同
如同
志同道合
感同身受
相同
胡同
与众不同
认同
赞同
陪同
党同伐异"
现,"出现
现在
发现","呈现
实现
展现
现
现代
现场
现实
现状
现象
现货
现身
现金
表现
重现
惊现
体现"
日,"今日
日
日子
生日","假日
即日
向日葵
夏日
工作日
平日
往日
成日
日出
日前
日报
日夜
日常
日式
日后
日日
日历
日期
日本
日本人
日照
日落
日记
日志
日语
早日
明日
昔日
星期日
昨日
末日
烈日
节日
纪念日
近日
周日"
军,"亚军
冠军
千军万马
季军
将军
军事
军团","三军
全军覆没
冠军赛
参军
大军
从军
敌军
新四军
日军
水军
海军
督军
空军
红军
美军
解放军
贺军翔
军
军人
军令如山
军刀
军区
军官
军情
军方
军旅
军校
军演
军火
军营
军用
军舰
军装
军训
军车
军医
军阀
军队
进军
远征军
陆军"
者,"作者
告密者
患者
或者
终结者
者
记者","使用者
使者
侍者
伤者
初学者
前者
创业者
胜利者
劳动者
参与者
受害者
失败者
学者
完美主义者
工作者
后者
忍者
志愿者
爱国者
爱好者
应聘者
投资者
拓荒者
操作者
支持者
旁观者
旅行者
智者
步行者
死者
求职者
流浪者
消费者
火影忍者
获奖者
第三者
笔者
素食者
统治者
经营者
老者
听者
舞者
行者
制造者
记者会
设计者
读者
逝者
长者
领导者"
意,"任意
创意
在意
好意思
如意
意外
意思
意义
意见
惬意
注意
满意
万事如意
愿意","一心一意
不经意
中意
主意
人意
介意
假意
全心全意
出乎意料
出人意料
刻意
同意
善意
大意
天意
失意
好意
寓意
得意
心意
心满意足
情意
恶意
意
意味
意境
意大利
意志
意想不到
意料
意气相投
意犹未尽
意识
意愿
爱意
故意
新意
有意
有意思
乐意
没意思
注意力
潜意识
无意
特意
玩意
玩意儿
生意
留意
真意
睡意
称心如意
肆意
诗意
诚意
随意
顺意"
