character,high-freq,medium-freq,examples
这,"这
这个","这些
这样
这里
这么","我这這就过過去。
这這本书書写寫得不错錯。
他这這才突然明白过過来來。
这个好多了。
这个再加点。
这个量多吗？"
个,"个
这个","个人
个个
个性
整个
那个","俩倆人相差个個两兩三岁歲。
她比她丈夫大个個一两兩岁歲。
冲沖个個澡
这个好多了。
这个再加点。
这个量多吗？"
们,"你们
我们","人们
他们","我既不乞讨你们的恩惠，也不惧怕你们的憎恨。
我的工作不是代表华盛顿对你们说话，而是代表你们对华盛顿说话。
女引座员可以把你们带到你们的座位上。
我们們一起去公园園吧。
我们們孩子特别別乖。
我们們去年去了希腊臘。"
中,"中
中国","中共
中午
中原
中国人
中国式
中场
中外
中天
中央
中学
中山
中年
中式
中心
中性
中意
中文
中新网
中毒
中奖
中等
中级
中华
中药
中转
中途
中部
中医
中间
中饭
中餐
之中
其中
初中
命中
国中
家中
市中心
心中
击中
猜中
当中
看中
空中
途中
集中
高中
高中生","在改革中
会會议議在进進行中。
彩票中了头頭奖獎。
中国(國)历(歷)史
毛主席领(領)导(導)下的中国(國)
我在中国(國)呆了差不多一个(個)月"
来,"来
来自
出来
原来
回来
起来
越来越","上来
下来
以来
来到
来回
来年
来源
来临
来说
来电
传来
到来
如来
将来
带来
后来
从来
想来
拿来
接下来
未来
本来
用来
看来
进来
过来
醒来","几幾年来來
芭蕾舞我跳不来來。
请請来來碗面麵条條。
青年志愿者们都来自不同的国家。
风险来自于你不知道自己在做什么。
公正不是来自外界，而是来自内心的平静。

几幾十年过過去，这這个個小镇鎮还還是原来來的样樣子。
我以为為你出国國了，原来來你还還在国國内內呢！
我原来來并並不知道他们們两兩人之间間的恩恩怨怨。

起来來吧,天都亮了。
赶趕快起来來,来來客人了。
突然唱起来(來)/跑了起来(來)
这里越来越黑了。
北京越来越热了。
加速度终于越来越小。"
上,"上
上班
早上
晚上","上下
上来
上传
上午
上去
上司
上天
上学
上市
上帝
上床
上升
上映
上海
上演
上涨
上火
上班族
上瘾
上网
上线
上街
上课
上路
上身
上车
上辈子
上门
上面
世上
以上
加上
史上
向上
地上
基本上
天上
实际上
爱上
戴上
楼上
海上
爬上
登上
看上
穿上
至上
赶上
路上
踏上
身上
闭上
马上","上杂雜志誌
我跑上楼樓梯。
我的表錶已上弦絃了。
上班
上班
我周(週)五不上班
凌(淩)晨3点(點)/早上7点(點)
早上床睡觉(覺)是明智的
从(從)晚上9点(點)到早上9点(點)
前天晚上
今天晚上出去吃好吗(嗎)？
从(從)晚上9点(點)到早上9点(點)"
大,"大
大吉
大家
大奖
大话骰","一大早
亚历山大
人大
伟大
加大
加拿大
北大
博大
哈哈大笑
大不了
大亨
大人
大伙
大伯
大佬
大便
大侠
大内
大全
大刀
大力
大半
大叔
大口
大吃大喝
大吉大利
大同
大哥
大哥大
大哭
大唐
大喜
大地
大型
大堂
大多
大多数
大大
大大小小
大夫
大姐
大姨
大姨妈
大娘
大妈
大学
大学生
大寒
大宝
大小
大山
大巴
大师
大幅
大厦
大厅
大怒
大意
大战
大户
大拇指
大方
大于
大会
大业
大概
大楼
大桥
大气
大洋
大海
大清早
大润发
大火
大爷
大片
大牌
大王
大理
大众
大炮
大笑
大米
大约
大红
大纲
大声
大腕
大脑
大腿
大胆
大自然
大蒜
大号
大街
大衣
大规模
大豆
大象
大军
大连
大运
大道
大选
大部分
大都
大量
大门
大陆
大队
大雨
大雪
大雾
大风
大餐
大驾
大闹天宫
大龄
巨大
师大
广大
强大
恍然大悟
意大利
扩大
放大
澳大利亚
火大
百慕大
盛大
绝大多数
老大
自大
重大
长大
高大
庞大","他比我大。
大吃喫一惊驚
音乐樂声聲太大,请請关關小一点點。
小王总把做作业当苦差事，每次做完就感觉完事大吉了。
猪年大吉!
他为什么溜之大吉？
国國画畫大家
我们們大家必须須继繼续續努力。
大家都很喜欢歡这這部电電影。
祝您中大奖。
这次的大奖到现在还虚悬着呢。
他为整个大奖在赌博。
"
为,"以为
因为
成为
为
为了
为什么","不为人知
作为
改为
最为
为主
为何
为止
无能为力
称为
行为
认为
身为","我以为為你不想来來呢！
老李以为為这這件事跟他没沒关關系係。
以为(為)⋯
因为為有暴风風雨，所以他们們取消了航海计計划劃。
一般人都对战争和展览的失败害怕的要死，因为有钱人--不想买任何东西。
我们不会死，因为我们必须得死；我们死去，因为不久之后的某天，我们被迫地认为那是必须的。
活着的全部意义在于发展成为你想成为的完整的人。
想要成为能够成为的人是生活的目标。
永远不要忘记，你的人生是你自己在掌控。你因你有意或无意地选择而成为你。
我真为為你高兴興！
一公斤约为為两兩磅。
这這部老电電影为為大家喜爱愛。
坏人活着是为了吃喝，而好人吃喝是为了活着。
为了谋生不必去死。
欲望的本质是不满足,而大多数人活着只是为了满足它。
为什么这么做？
你看到已经存在的事物，问‘为什么如此呢?' 但我却梦想从未有过的事物；并问，“为什么不能呢?”
为什么吸毒者和电脑爱好者都被称为用户？"
和,和,"和尚
和平
和谐
平和
暖和","5与與5的和是10。
他和我是同事。
夫妻不和。"
国,"中国
中国人
国
国内
国家
国际
美国
韩国","中国式
亡国
俄国
共和国
出国
北国
吴国
回国
国中
国人
国企
国债
国内外
国务院
国土
国外
国大
国学
国家级
国家队
国宝
国度
国情
国庆
国旗
国会
国有
国歌
国民
国民党
国泰民安
国王
国产
国界
国画
国籍
国粹
国航
国语
国贸
国道
国防
国际化
外国
外国人
天国
帝国
建国
张国荣
强国
德国
德国人
爱国
爱国者
我国
战国
曾国藩
民国
治国
法国
法国人
泰国
王国
异国
祖国
米国
美国人
联合国
兴国
英国
英国人
蒋经国
蜀国
跨国
开国
韩国人
魏国","中国(國)历(歷)史
毛主席领(領)导(導)下的中国(國)
我在中国(國)呆了差不多一个(個)月
吃面包和肉。中国人呢？
中国人用木制筷子吃饭。
中国人习惯把媒人称之为红娘。
国國徽
他是哪国(國)人？
他是哪国人？
国内市场的扩大
国内市场没有足够的增长。
中国更加重视国内的石油生产。
不要问国家能为你做什么, 问问你能为国家做些什么。
国家存在就不能有自由。而有了自由就不会有国家。
寄到哪个国家？
国际
我寄国际包裹。
这是国际驾照。
美国國人
美国音乐的创作方法很简单。你所要做的就是做个美国人然后创作你想要的那种音乐。
你能接受美国文化吗？
我们乘船去韩国旅行。
他在一家韩国公司当顾问。
这次我们将去韩国度假。"
